,Mobile,Title,Rating,Text,Sentiments
21,Mi 10,Good phone (Pros & Cons simplified),1.0,hi guy general phone nice manage provide feel premium phone however flaw witness experience till date let provide pros con phone pros nice build quality comfortable hold excellent performance symmetric stereo speakers better experience watch videos play game nice camera good quality low light night photography still many flagship phone lack mark hz refresh rate display amoled screen brightness excellent issue view display even display directly face towards sun excellent charge watts wire wireless charge try charge phone dead achieve hour personal opinion think higher charge wattage like watts good phone battery sound like gimmick even though double wattage usually charge phone smaller battery mah minutes much difference super steady video rear camera presence eis ois bigger battery mah compare flagship phone miss feature like reverse wireless charge g support though india use least couple years nfc dual gps capable connect wifi provide hotspot simultaneously miui ads till date con limitation resolution screen fhd bigger size screen result lower ppi thus stand nowhere near qhd display phone come global miui google dialer message app thus miss feature like call record phone note etc reason many countries like uae illegal call record apps vpn apps trust miui lot bug thus result issue like use finger print scanner device heat time even normal usage overall performance acceptable hopefully issue resolve miui update go available soon outdated front camera support rear cameras hardware mp front camera without eis mp macro camera mp depth camera mp ultrawide camera seem like joke flagship phone price k battery bigger compare many devices loose even leave untouched overnight thus say good battery management miss mm jack also c type mm jack converter provide box seem good quality per initial impression though low light photography good daylight photography exceptional one might expect mp camera felt call quality mark maybe case price issue though two things go xiaomi well mobile brand increment gst rat higher import duties import phone think phone slightly overprice k compare biggest competitor one plus always choose mi many things miss one plus like wireless charge lp ddr ram x present instead come smaller battery mah sony imx camera sensor quite outdated price difference k even narrow use bank offer available case however comparison one plus pro feel mi slightly behind miui bug relate flaw fhd display outdated secondary camera hardware include front camera thus believe aforementioned issue would address xiaomi would consider phone justify price completely without doubt would best phone ever k however reality still phone definitely strong competitor flagship mobile segment,Negative
22,Mi 10,Worst,4.0,heat problem waste hard money go phone range,Negative
23,Mi 10,found inner box seal tampered,4.0,outer package intact inner box seal find break certainly tamper photos attach,Positive
24,Mi 10,So bad,1.0,ist bad,Very Negative
25,Mi 10,Would not recommend,1.0,keep hang seal box break performance expect,Netural
26,Mi 10,Bad,1.0,overheat battery drain quickly performance expect k phone,Negative
27,Mi 10,Voice Issue..,1.0,good quality product face problem mic phone try several call voice issue well phone overheat issue,Negative
28,Mi 10,Waste of money,1.0,mobile good many problems hang heat buy waste money,Negative
29,Mi 10,Cute,1.0,cute mobile super performance good camera,Positive
30,Mi 10,Heating issue,4.0,okk mobile heat problem high suggest guy plz buy device,Netural
31,Mi 10,Good phone (Pros & Cons simplified),1.0,hi guy general phone nice manage provide feel premium phone however flaw witness experience till date let provide pros con phone pros nice build quality comfortable hold excellent performance symmetric stereo speakers better experience watch videos play game nice camera good quality low light night photography still many flagship phone lack mark hz refresh rate display amoled screen brightness excellent issue view display even display directly face towards sun excellent charge watts wire wireless charge try charge phone dead achieve hour personal opinion think higher charge wattage like watts good phone battery sound like gimmick even though double wattage usually charge phone smaller battery mah minutes much difference super steady video rear camera presence eis ois bigger battery mah compare flagship phone miss feature like reverse wireless charge g support though india use least couple years nfc dual gps capable connect wifi provide hotspot simultaneously miui ads till date con limitation resolution screen fhd bigger size screen result lower ppi thus stand nowhere near qhd display phone come global miui google dialer message app thus miss feature like call record phone note etc reason many countries like uae illegal call record apps vpn apps trust miui lot bug thus result issue like use finger print scanner device heat time even normal usage overall performance acceptable hopefully issue resolve miui update go available soon outdated front camera support rear cameras hardware mp front camera without eis mp macro camera mp depth camera mp ultrawide camera seem like joke flagship phone price k battery bigger compare many devices loose even leave untouched overnight thus say good battery management miss mm jack also c type mm jack converter provide box seem good quality per initial impression though low light photography good daylight photography exceptional one might expect mp camera felt call quality mark maybe case price issue though two things go xiaomi well mobile brand increment gst rat higher import duties import phone think phone slightly overprice k compare biggest competitor one plus always choose mi many things miss one plus like wireless charge lp ddr ram x present instead come smaller battery mah sony imx camera sensor quite outdated price difference k even narrow use bank offer available case however comparison one plus pro feel mi slightly behind miui bug relate flaw fhd display outdated secondary camera hardware include front camera thus believe aforementioned issue would address xiaomi would consider phone justify price completely without doubt would best phone ever k however reality still phone definitely strong competitor flagship mobile segment,Negative
32,Mi 10,Worst,4.0,heat problem waste hard money go phone range,Negative
33,Mi 10,found inner box seal tampered,4.0,outer package intact inner box seal find break certainly tamper photos attach,Positive
34,Mi 10,So bad,1.0,ist bad,Very Negative
35,Mi 10,Would not recommend,1.0,keep hang seal box break performance expect,Netural
36,Mi 10,Bad,1.0,overheat battery drain quickly performance expect k phone,Negative
37,Mi 10,Voice Issue..,1.0,good quality product face problem mic phone try several call voice issue well phone overheat issue,Negative
38,Mi 10,Waste of money,1.0,mobile good many problems hang heat buy waste money,Negative
39,Mi 10,Cute,1.0,cute mobile super performance good camera,Positive
40,Mi 10,Heating issue,4.0,okk mobile heat problem high suggest guy plz buy device,Netural
41,Mi 10,Good phone (Pros & Cons simplified),1.0,hi guy general phone nice manage provide feel premium phone however flaw witness experience till date let provide pros con phone pros nice build quality comfortable hold excellent performance symmetric stereo speakers better experience watch videos play game nice camera good quality low light night photography still many flagship phone lack mark hz refresh rate display amoled screen brightness excellent issue view display even display directly face towards sun excellent charge watts wire wireless charge try charge phone dead achieve hour personal opinion think higher charge wattage like watts good phone battery sound like gimmick even though double wattage usually charge phone smaller battery mah minutes much difference super steady video rear camera presence eis ois bigger battery mah compare flagship phone miss feature like reverse wireless charge g support though india use least couple years nfc dual gps capable connect wifi provide hotspot simultaneously miui ads till date con limitation resolution screen fhd bigger size screen result lower ppi thus stand nowhere near qhd display phone come global miui google dialer message app thus miss feature like call record phone note etc reason many countries like uae illegal call record apps vpn apps trust miui lot bug thus result issue like use finger print scanner device heat time even normal usage overall performance acceptable hopefully issue resolve miui update go available soon outdated front camera support rear cameras hardware mp front camera without eis mp macro camera mp depth camera mp ultrawide camera seem like joke flagship phone price k battery bigger compare many devices loose even leave untouched overnight thus say good battery management miss mm jack also c type mm jack converter provide box seem good quality per initial impression though low light photography good daylight photography exceptional one might expect mp camera felt call quality mark maybe case price issue though two things go xiaomi well mobile brand increment gst rat higher import duties import phone think phone slightly overprice k compare biggest competitor one plus always choose mi many things miss one plus like wireless charge lp ddr ram x present instead come smaller battery mah sony imx camera sensor quite outdated price difference k even narrow use bank offer available case however comparison one plus pro feel mi slightly behind miui bug relate flaw fhd display outdated secondary camera hardware include front camera thus believe aforementioned issue would address xiaomi would consider phone justify price completely without doubt would best phone ever k however reality still phone definitely strong competitor flagship mobile segment,Negative
42,Mi 10,Worst,4.0,heat problem waste hard money go phone range,Negative
43,Mi 10,found inner box seal tampered,4.0,outer package intact inner box seal find break certainly tamper photos attach,Positive
44,Mi 10,So bad,1.0,ist bad,Very Negative
45,Mi 10,Would not recommend,1.0,keep hang seal box break performance expect,Netural
46,Mi 10,Bad,1.0,overheat battery drain quickly performance expect k phone,Negative
47,Mi 10,Voice Issue..,1.0,good quality product face problem mic phone try several call voice issue well phone overheat issue,Negative
48,Mi 10,Waste of money,1.0,mobile good many problems hang heat buy waste money,Negative
49,Mi 10,Cute,1.0,cute mobile super performance good camera,Positive
50,Mi 10,Heating issue,4.0,okk mobile heat problem high suggest guy plz buy device,Netural
51,Mi 10,Good phone (Pros & Cons simplified),1.0,hi guy general phone nice manage provide feel premium phone however flaw witness experience till date let provide pros con phone pros nice build quality comfortable hold excellent performance symmetric stereo speakers better experience watch videos play game nice camera good quality low light night photography still many flagship phone lack mark hz refresh rate display amoled screen brightness excellent issue view display even display directly face towards sun excellent charge watts wire wireless charge try charge phone dead achieve hour personal opinion think higher charge wattage like watts good phone battery sound like gimmick even though double wattage usually charge phone smaller battery mah minutes much difference super steady video rear camera presence eis ois bigger battery mah compare flagship phone miss feature like reverse wireless charge g support though india use least couple years nfc dual gps capable connect wifi provide hotspot simultaneously miui ads till date con limitation resolution screen fhd bigger size screen result lower ppi thus stand nowhere near qhd display phone come global miui google dialer message app thus miss feature like call record phone note etc reason many countries like uae illegal call record apps vpn apps trust miui lot bug thus result issue like use finger print scanner device heat time even normal usage overall performance acceptable hopefully issue resolve miui update go available soon outdated front camera support rear cameras hardware mp front camera without eis mp macro camera mp depth camera mp ultrawide camera seem like joke flagship phone price k battery bigger compare many devices loose even leave untouched overnight thus say good battery management miss mm jack also c type mm jack converter provide box seem good quality per initial impression though low light photography good daylight photography exceptional one might expect mp camera felt call quality mark maybe case price issue though two things go xiaomi well mobile brand increment gst rat higher import duties import phone think phone slightly overprice k compare biggest competitor one plus always choose mi many things miss one plus like wireless charge lp ddr ram x present instead come smaller battery mah sony imx camera sensor quite outdated price difference k even narrow use bank offer available case however comparison one plus pro feel mi slightly behind miui bug relate flaw fhd display outdated secondary camera hardware include front camera thus believe aforementioned issue would address xiaomi would consider phone justify price completely without doubt would best phone ever k however reality still phone definitely strong competitor flagship mobile segment,Negative
52,Mi 10,Worst,4.0,heat problem waste hard money go phone range,Negative
53,Mi 10,found inner box seal tampered,4.0,outer package intact inner box seal find break certainly tamper photos attach,Positive
54,Mi 10,So bad,1.0,ist bad,Very Negative
55,Mi 10,Would not recommend,1.0,keep hang seal box break performance expect,Netural
56,Mi 10,Bad,1.0,overheat battery drain quickly performance expect k phone,Negative
57,Mi 10,Voice Issue..,1.0,good quality product face problem mic phone try several call voice issue well phone overheat issue,Negative
58,Mi 10,Waste of money,1.0,mobile good many problems hang heat buy waste money,Negative
59,Mi 10,Cute,1.0,cute mobile super performance good camera,Positive
60,Mi 10,Heating issue,4.0,okk mobile heat problem high suggest guy plz buy device,Netural
61,Mi 10,Good phone (Pros & Cons simplified),1.0,hi guy general phone nice manage provide feel premium phone however flaw witness experience till date let provide pros con phone pros nice build quality comfortable hold excellent performance symmetric stereo speakers better experience watch videos play game nice camera good quality low light night photography still many flagship phone lack mark hz refresh rate display amoled screen brightness excellent issue view display even display directly face towards sun excellent charge watts wire wireless charge try charge phone dead achieve hour personal opinion think higher charge wattage like watts good phone battery sound like gimmick even though double wattage usually charge phone smaller battery mah minutes much difference super steady video rear camera presence eis ois bigger battery mah compare flagship phone miss feature like reverse wireless charge g support though india use least couple years nfc dual gps capable connect wifi provide hotspot simultaneously miui ads till date con limitation resolution screen fhd bigger size screen result lower ppi thus stand nowhere near qhd display phone come global miui google dialer message app thus miss feature like call record phone note etc reason many countries like uae illegal call record apps vpn apps trust miui lot bug thus result issue like use finger print scanner device heat time even normal usage overall performance acceptable hopefully issue resolve miui update go available soon outdated front camera support rear cameras hardware mp front camera without eis mp macro camera mp depth camera mp ultrawide camera seem like joke flagship phone price k battery bigger compare many devices loose even leave untouched overnight thus say good battery management miss mm jack also c type mm jack converter provide box seem good quality per initial impression though low light photography good daylight photography exceptional one might expect mp camera felt call quality mark maybe case price issue though two things go xiaomi well mobile brand increment gst rat higher import duties import phone think phone slightly overprice k compare biggest competitor one plus always choose mi many things miss one plus like wireless charge lp ddr ram x present instead come smaller battery mah sony imx camera sensor quite outdated price difference k even narrow use bank offer available case however comparison one plus pro feel mi slightly behind miui bug relate flaw fhd display outdated secondary camera hardware include front camera thus believe aforementioned issue would address xiaomi would consider phone justify price completely without doubt would best phone ever k however reality still phone definitely strong competitor flagship mobile segment,Negative
62,Mi 10,Worst,4.0,heat problem waste hard money go phone range,Negative
63,Mi 10,found inner box seal tampered,4.0,outer package intact inner box seal find break certainly tamper photos attach,Positive
64,Mi 10,So bad,1.0,ist bad,Very Negative
65,Mi 10,Would not recommend,1.0,keep hang seal box break performance expect,Netural
66,Mi 10,Bad,1.0,overheat battery drain quickly performance expect k phone,Negative
67,Mi 10,Voice Issue..,1.0,good quality product face problem mic phone try several call voice issue well phone overheat issue,Negative
68,Mi 10,Waste of money,1.0,mobile good many problems hang heat buy waste money,Negative
69,Mi 10,Cute,1.0,cute mobile super performance good camera,Positive
70,Mi 10,Heating issue,4.0,okk mobile heat problem high suggest guy plz buy device,Netural
71,Mi 10,Good phone (Pros & Cons simplified),1.0,hi guy general phone nice manage provide feel premium phone however flaw witness experience till date let provide pros con phone pros nice build quality comfortable hold excellent performance symmetric stereo speakers better experience watch videos play game nice camera good quality low light night photography still many flagship phone lack mark hz refresh rate display amoled screen brightness excellent issue view display even display directly face towards sun excellent charge watts wire wireless charge try charge phone dead achieve hour personal opinion think higher charge wattage like watts good phone battery sound like gimmick even though double wattage usually charge phone smaller battery mah minutes much difference super steady video rear camera presence eis ois bigger battery mah compare flagship phone miss feature like reverse wireless charge g support though india use least couple years nfc dual gps capable connect wifi provide hotspot simultaneously miui ads till date con limitation resolution screen fhd bigger size screen result lower ppi thus stand nowhere near qhd display phone come global miui google dialer message app thus miss feature like call record phone note etc reason many countries like uae illegal call record apps vpn apps trust miui lot bug thus result issue like use finger print scanner device heat time even normal usage overall performance acceptable hopefully issue resolve miui update go available soon outdated front camera support rear cameras hardware mp front camera without eis mp macro camera mp depth camera mp ultrawide camera seem like joke flagship phone price k battery bigger compare many devices loose even leave untouched overnight thus say good battery management miss mm jack also c type mm jack converter provide box seem good quality per initial impression though low light photography good daylight photography exceptional one might expect mp camera felt call quality mark maybe case price issue though two things go xiaomi well mobile brand increment gst rat higher import duties import phone think phone slightly overprice k compare biggest competitor one plus always choose mi many things miss one plus like wireless charge lp ddr ram x present instead come smaller battery mah sony imx camera sensor quite outdated price difference k even narrow use bank offer available case however comparison one plus pro feel mi slightly behind miui bug relate flaw fhd display outdated secondary camera hardware include front camera thus believe aforementioned issue would address xiaomi would consider phone justify price completely without doubt would best phone ever k however reality still phone definitely strong competitor flagship mobile segment,Negative
72,Mi 10,Worst,4.0,heat problem waste hard money go phone range,Negative
73,Mi 10,found inner box seal tampered,4.0,outer package intact inner box seal find break certainly tamper photos attach,Positive
74,Mi 10,So bad,1.0,ist bad,Very Negative
75,Mi 10,Would not recommend,1.0,keep hang seal box break performance expect,Netural
76,Mi 10,Bad,1.0,overheat battery drain quickly performance expect k phone,Negative
77,Mi 10,Voice Issue..,1.0,good quality product face problem mic phone try several call voice issue well phone overheat issue,Negative
78,Mi 10,Waste of money,1.0,mobile good many problems hang heat buy waste money,Negative
79,Mi 10,Cute,1.0,cute mobile super performance good camera,Positive
80,Mi 10,Heating issue,4.0,okk mobile heat problem high suggest guy plz buy device,Netural
81,Mi 10,Good phone (Pros & Cons simplified),1.0,hi guy general phone nice manage provide feel premium phone however flaw witness experience till date let provide pros con phone pros nice build quality comfortable hold excellent performance symmetric stereo speakers better experience watch videos play game nice camera good quality low light night photography still many flagship phone lack mark hz refresh rate display amoled screen brightness excellent issue view display even display directly face towards sun excellent charge watts wire wireless charge try charge phone dead achieve hour personal opinion think higher charge wattage like watts good phone battery sound like gimmick even though double wattage usually charge phone smaller battery mah minutes much difference super steady video rear camera presence eis ois bigger battery mah compare flagship phone miss feature like reverse wireless charge g support though india use least couple years nfc dual gps capable connect wifi provide hotspot simultaneously miui ads till date con limitation resolution screen fhd bigger size screen result lower ppi thus stand nowhere near qhd display phone come global miui google dialer message app thus miss feature like call record phone note etc reason many countries like uae illegal call record apps vpn apps trust miui lot bug thus result issue like use finger print scanner device heat time even normal usage overall performance acceptable hopefully issue resolve miui update go available soon outdated front camera support rear cameras hardware mp front camera without eis mp macro camera mp depth camera mp ultrawide camera seem like joke flagship phone price k battery bigger compare many devices loose even leave untouched overnight thus say good battery management miss mm jack also c type mm jack converter provide box seem good quality per initial impression though low light photography good daylight photography exceptional one might expect mp camera felt call quality mark maybe case price issue though two things go xiaomi well mobile brand increment gst rat higher import duties import phone think phone slightly overprice k compare biggest competitor one plus always choose mi many things miss one plus like wireless charge lp ddr ram x present instead come smaller battery mah sony imx camera sensor quite outdated price difference k even narrow use bank offer available case however comparison one plus pro feel mi slightly behind miui bug relate flaw fhd display outdated secondary camera hardware include front camera thus believe aforementioned issue would address xiaomi would consider phone justify price completely without doubt would best phone ever k however reality still phone definitely strong competitor flagship mobile segment,Negative
82,Mi 10,Worst,4.0,heat problem waste hard money go phone range,Negative
83,Mi 10,found inner box seal tampered,4.0,outer package intact inner box seal find break certainly tamper photos attach,Positive
84,Mi 10,So bad,1.0,ist bad,Very Negative
85,Mi 10,Would not recommend,1.0,keep hang seal box break performance expect,Netural
86,Mi 10,Bad,1.0,overheat battery drain quickly performance expect k phone,Negative
87,Mi 10,Voice Issue..,1.0,good quality product face problem mic phone try several call voice issue well phone overheat issue,Negative
88,Mi 10,Waste of money,1.0,mobile good many problems hang heat buy waste money,Negative
89,Mi 10,Cute,1.0,cute mobile super performance good camera,Positive
90,Mi 10,Heating issue,4.0,okk mobile heat problem high suggest guy plz buy device,Netural
91,Mi 10,Good phone (Pros & Cons simplified),1.0,hi guy general phone nice manage provide feel premium phone however flaw witness experience till date let provide pros con phone pros nice build quality comfortable hold excellent performance symmetric stereo speakers better experience watch videos play game nice camera good quality low light night photography still many flagship phone lack mark hz refresh rate display amoled screen brightness excellent issue view display even display directly face towards sun excellent charge watts wire wireless charge try charge phone dead achieve hour personal opinion think higher charge wattage like watts good phone battery sound like gimmick even though double wattage usually charge phone smaller battery mah minutes much difference super steady video rear camera presence eis ois bigger battery mah compare flagship phone miss feature like reverse wireless charge g support though india use least couple years nfc dual gps capable connect wifi provide hotspot simultaneously miui ads till date con limitation resolution screen fhd bigger size screen result lower ppi thus stand nowhere near qhd display phone come global miui google dialer message app thus miss feature like call record phone note etc reason many countries like uae illegal call record apps vpn apps trust miui lot bug thus result issue like use finger print scanner device heat time even normal usage overall performance acceptable hopefully issue resolve miui update go available soon outdated front camera support rear cameras hardware mp front camera without eis mp macro camera mp depth camera mp ultrawide camera seem like joke flagship phone price k battery bigger compare many devices loose even leave untouched overnight thus say good battery management miss mm jack also c type mm jack converter provide box seem good quality per initial impression though low light photography good daylight photography exceptional one might expect mp camera felt call quality mark maybe case price issue though two things go xiaomi well mobile brand increment gst rat higher import duties import phone think phone slightly overprice k compare biggest competitor one plus always choose mi many things miss one plus like wireless charge lp ddr ram x present instead come smaller battery mah sony imx camera sensor quite outdated price difference k even narrow use bank offer available case however comparison one plus pro feel mi slightly behind miui bug relate flaw fhd display outdated secondary camera hardware include front camera thus believe aforementioned issue would address xiaomi would consider phone justify price completely without doubt would best phone ever k however reality still phone definitely strong competitor flagship mobile segment,Negative
92,Mi 10,Worst,4.0,heat problem waste hard money go phone range,Negative
93,Mi 10,found inner box seal tampered,4.0,outer package intact inner box seal find break certainly tamper photos attach,Positive
94,Mi 10,So bad,1.0,ist bad,Very Negative
95,Mi 10,Would not recommend,1.0,keep hang seal box break performance expect,Netural
96,Mi 10,Bad,1.0,overheat battery drain quickly performance expect k phone,Negative
97,Mi 10,Voice Issue..,1.0,good quality product face problem mic phone try several call voice issue well phone overheat issue,Negative
98,Mi 10,Waste of money,1.0,mobile good many problems hang heat buy waste money,Negative
99,Mi 10,Cute,1.0,cute mobile super performance good camera,Positive
100,Apple iPhone 11 Pro,BEST PHONE in the SmartPhone Market..........Hands'Down,5.0,love apple make amaze product make magic love specially ultrawide angle camera hell beast processor bionic engineer way apple present chip stage blow mind small piece hardware billion transistor base nm architecture simple word like lamborgini chip honda finally gon na beast phone another thing make happy apple might manufacture assemble phone india kudos apple amaze work best,Very Positive
101,Apple iPhone 11 Pro,Nice and low price,3.0,love apple make amaze product make magic love specially ultrawide angle camera hell beast processor bionic engineer way apple present chip stage blow mind small piece hardware billion transistor base nm architecture simple word like lamborgini chip honda finally gon na beast phone another thing make happy apple might manufacture assemble phone india kudos apple amaze work best,Very Positive
102,Apple iPhone 11 Pro,Upto the Mark but not too much change & Battery Blunder,5.0,always fan ios apple products reason qualityperformancetransparent customer supportdesignbuild qualityupdatessound qualitypromises go write review post week usage pros display qualityperformancespeedfast chargingcameraeven selfie camera quality enhancedtriple camera also good describe new color midnight green add charm e simip better others battery usage better iphone xs durability con touch old headphones changesin india much expensiveheating issuewhile charge please use bcz thereafter fry egg low screen refresh rate better iphone xs camera fail light apple sort next update give screen design performance heat sound price much expensive customer support battery life fall charge amazon delivery satisfy bcz deliver product per promise soon publish pics shoot iphone pro thank read,Very Positive
103,Apple iPhone 11 Pro,Camera,5.0,get today look really sexy awesome camera display thank apple,Very Positive
104,Apple iPhone 11 Pro,bad,3.0,box open,Netural
105,Apple iPhone 11 Pro,Automatically getting restart & keeps getting hang,4.0,phone restart customer support use end defective phone spend close lakh,Netural
106,Apple iPhone 11 Pro,Good phone with super camara,1.0,excellent camera nothing else new obviously processor speed good,Positive
107,Apple iPhone 11 Pro,I'm too rich for this.,1.0,cheap like cheap things,Negative
108,Apple iPhone 11 Pro,Worst product,4.0,worst product get heatup much request amazon replace help disappoint,Very Negative
109,Apple iPhone 11 Pro,Not worth,1.0,charge phone get unlock problems iam nt understand mobile r iphones return policy give weeks wat problem find week,Negative
110,Apple iPhone 11 Pro,BEST PHONE in the SmartPhone Market..........Hands'Down,5.0,love apple make amaze product make magic love specially ultrawide angle camera hell beast processor bionic engineer way apple present chip stage blow mind small piece hardware billion transistor base nm architecture simple word like lamborgini chip honda finally gon na beast phone another thing make happy apple might manufacture assemble phone india kudos apple amaze work best,Very Positive
111,Apple iPhone 11 Pro,Nice and low price,3.0,love apple make amaze product make magic love specially ultrawide angle camera hell beast processor bionic engineer way apple present chip stage blow mind small piece hardware billion transistor base nm architecture simple word like lamborgini chip honda finally gon na beast phone another thing make happy apple might manufacture assemble phone india kudos apple amaze work best,Very Positive
112,Apple iPhone 11 Pro,Upto the Mark but not too much change & Battery Blunder,5.0,always fan ios apple products reason qualityperformancetransparent customer supportdesignbuild qualityupdatessound qualitypromises go write review post week usage pros display qualityperformancespeedfast chargingcameraeven selfie camera quality enhancedtriple camera also good describe new color midnight green add charm e simip better others battery usage better iphone xs durability con touch old headphones changesin india much expensiveheating issuewhile charge please use bcz thereafter fry egg low screen refresh rate better iphone xs camera fail light apple sort next update give screen design performance heat sound price much expensive customer support battery life fall charge amazon delivery satisfy bcz deliver product per promise soon publish pics shoot iphone pro thank read,Very Positive
113,Apple iPhone 11 Pro,Camera,5.0,get today look really sexy awesome camera display thank apple,Very Positive
114,Apple iPhone 11 Pro,bad,3.0,box open,Netural
115,Apple iPhone 11 Pro,Automatically getting restart & keeps getting hang,4.0,phone restart customer support use end defective phone spend close lakh,Netural
116,Apple iPhone 11 Pro,Good phone with super camara,1.0,excellent camera nothing else new obviously processor speed good,Positive
117,Apple iPhone 11 Pro,I'm too rich for this.,1.0,cheap like cheap things,Negative
118,Apple iPhone 11 Pro,Worst product,4.0,worst product get heatup much request amazon replace help disappoint,Very Negative
119,Apple iPhone 11 Pro,Not worth,1.0,charge phone get unlock problems iam nt understand mobile r iphones return policy give weeks wat problem find week,Negative
120,Apple iPhone 11 Pro,BEST PHONE in the SmartPhone Market..........Hands'Down,5.0,love apple make amaze product make magic love specially ultrawide angle camera hell beast processor bionic engineer way apple present chip stage blow mind small piece hardware billion transistor base nm architecture simple word like lamborgini chip honda finally gon na beast phone another thing make happy apple might manufacture assemble phone india kudos apple amaze work best,Very Positive
